movie_id,sentence_id,parse
10000053,1,(ROOT (S (NP (NNP Fur) (NNP trapper) (NNP Jean) (NNP La) (NNP B) (NN te)) (VP (VBZ paddles) (NP (PRP$ his) (NN canoe)) (PP (IN through) (NP (NP (JJ wild) (NN water)) (PP (IN towards) (NP (DT the) (NN settlement))))) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB sell) (NP (NP (DT a) (NN load)) (PP (IN of) (NP (NNS furs))))))))) (. .))) 
10000053,2,"(ROOT (S (S (PP (IN At) (NP (DT the) (NN settlement))) (NP (DT a) (NN steamboat)) (VP (VBZ is) (NP (NN landing)))) (CC and) (S (NP (NP (DT the) (NN trader)) (CC and) (NP (PRP$ his) (JJ foster-child) (NNP Eve)) (, ,)) (VP (VBP arrive) (PP (IN at) (NP (DT the) (NN seaport) (S (VP (TO to) (VP (VB fetch) (NP (NP (NN mail) (CC and) (NN consumer)) (NNS goods))))))))) (. .))) "
10000053,3,(ROOT (S (NP (DT The) (NN trader)) (VP (VBZ explains) (PP (PP (TO to) (NP (NNP Eve))) (SBAR (SBAR (IN that) (S (NP (DT the) (NN ship)) (VP (VBZ brings) (`` ``) (NP (NP (NNPS Jailbirds)) (: ...) (PP (IN from) (NP (DT the) (JJ east))))))) ('' '') (CC and) (SBAR (IN that) (S (`` ``) (NP (PRP$ their) (NN husbands-to-be)) (VP (VP (VBD had) (VP (VBN bailed) (NP (PRP them)) (PRT (RP out)))) (CC and) (VP (VBD paid) (NP (NP (PRP$ their) (NNS fines)) (CC and) (NP (PRP$ their) (NNS passages))) (PP (IN with) (NP (NP (DT a) (NN guarantee)) (PP (IN of) (NP (NN marriage))))))) ('' '')))))) (. .))) 
10000053,4,"(ROOT (S (ADVP (RB Later)) (, ,) (NP (DT the) (NN captain)) (VP (VBZ is) (VP (VBG auctioning) (PRT (RP off)) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT those) (NNS women)) (SBAR (IN because) (S (NP (PRP$ her) (NN husband-to-be)) (VP (VBZ has) (VP (VBN died) (PP (IN in) (NP (DT the) (NN meantime)))))))))))) (. .))) "
10000053,5,"(ROOT (S (S (NP (NNP Jean) (NNP La) (NNP B) (NN te)) (VP (VBZ decides) (S (VP (TO to) (VP (VB take) (NP (PRP$ his) (NN chance) (S (VP (TO to) (VP (VB buy) (NP (DT the) (NN wife))))))))))) (, ,) (CC but) (S (NP (PRP he)) (VP (VBZ makes) (NP (PRP$ his) (NN bid)) (ADVP (RB too) (RB late)))) (. .))) "
10000053,6,"(ROOT (S (NP-TMP (JJ Next) (NN day)) (, ,) (NP (NP (NP (DT the) (NN trader) (POS 's)) (NN wife)) (, ,) (PP (IN in) (NP (DT the) (NN need) (S (VP (TO to) (VP (VB compensate) (PP (IN for) (NP (NP (DT the) (NN loss)) (PP (IN of) (NP (PRP$ her) (NNS savings)))))))))) (, ,)) (VP (VBZ seizes) (NP (DT the) (NN opportunity) (S (VP (TO to) (VP (VB offer) (NP (PRP$ her) (NN foster-child)) (PP (IN for) (NP (CD thousand) (NNS dollars))) (PP (TO to) (NP (DT the) (ADJP (JJ simple-minded) (, ,) (JJ rough-cut)) (NN trapper)))))))) (. .))) "
10000053,7,"(ROOT (S (NP (PRP She)) (VP (VP (VBZ praises) (NP (NP (DT the) (NNS qualities)) (PP (IN of) (NP (DT the) (ADJP (JJ shy)) (NN girl))))) (CC and) (VP (VBZ explains)) (, ,) (SBAR (WHNP (DT that)) (S (NP (PRP$ her) (NN inability) (S (VP (TO to) (VP (VB speak))))) (VP (VBZ is) (VP (VBN caused) (PP (IN from) (NP (NP (DT the) (NN shock)) (SBAR (S (NP (PRP she)) (VP (VBD suffered) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD had) (PP (TO to) (NP (NN witness))))))))))) (SBAR (WHADVP (WRB how)) (S (NP (PRP$ her) (NNS parents)) (VP (VBD were) (ADVP (RB barbarously)) (VP (VBN murdered) (ADVP (NP (JJ several) (NNS years)) (RB ago))))))))))) (. .))) "
10000053,8,(ROOT (S (NP (NP (NNP La) (NNP B)) (SBAR (S (NP (NN te)) (ADVP (RB finally)) (VP (VP (VBZ agrees) (S (VP (TO to) (VP (VB buy) (NP (DT the) (ADJP (JJ mute)) (NN girl)))))) (CC and) (VP (VBZ takes) (NP (PRP$ her)) (PP (IN against) (NP (PRP$ her)))))))) (VP (MD will) (PP (IN into) (NP (NP (DT the) (ADJP (RB breathtakingly) (JJ beautiful)) (NN wilderness)) (PP (IN of) (NP (NNP British) (NNP Columbia)))))) (. .))) 
10000053,9,(ROOT (S (ADVP (RB Here)) (NP (DT the) (JJ strange) (NN couple)) (VP (VBZ starts) (NP (NP (DT a) (JJ difficult) (NN relationship)) (VP (VBN characterized) (PP (IN by) (NP (NP (NN mistrust)) (CC and) (NP (NP (NNP Eve) (POS 's)) (NN dislike))))))) (. .))) 
10000053,10,(ROOT (S (NP (NNP Eve)) (ADVP (RB vehemently)) (VP (VBZ rejects) (NP (NP (DT the) (NNS advances)) (PP (IN of) (NP (DT the) (JJ gruff) (NN trapper))))) (. .))) 
